"","CVE_ENT","n_poblacion","n_violentadas","prevalencia_general","n_violentadas_emoc","prevalencia_emocional","n_violentadas_econ","prevalencia_economica","n_violentadas_fisi","prevalencia_fisica","n_violentadas_sexu","prevalencia_sexual"
"1","01",484174,60427,0.124804305890031,49179,0.101572988223242,17844,0.036854519243082,20797,0.0429535662798911,6776,0.0139949687509036
"2","02",1301658,101350,0.0778622341659637,76630,0.0588710705884341,32578,0.0250280795723608,31383,0.0241100196825894,14061,0.0108023766611506
"3","03",283466,19262,0.0679517120219003,15991,0.0564124092483755,6306,0.0222460542005038,4972,0.0175400224365532,3443,0.0121460774837194
"4","04",352528,31531,0.089442540734353,22810,0.0647040802432715,10785,0.0305933145735942,10019,0.0284204375255299,4557,0.0129266327781056
"5","05",1108968,128370,0.115756270694916,102820,0.0927168322259975,40198,0.0362481153649159,39297,0.0354356482783994,16580,0.0149508371747426
"6","06",278067,27049,0.0972751171480255,20677,0.0743597766006035,7229,0.0259973315783606,7479,0.0268963954730335,4780,0.0171901016661452
"7","07",1857907,140505,0.0756254215092575,103976,0.0559640498690193,37178,0.0200106894478572,34359,0.018493390681019,19239,0.010355200771621
"8","08",1363182,133590,0.09799865315123,106315,0.07799031970786,28790,0.0211197037519568,41508,0.0304493457219946,15283,0.0112112689281402
"9","09",3756124,365126,0.097208185885237,297995,0.0793357727274179,94563,0.0251756864256878,118021,0.0314209541538032,42119,0.011213421069166
"10","10",652059,80950,0.124145207718933,62248,0.0954637540467964,23168,0.0355305271455497,27352,0.0419471244166555,9569,0.0146750524109015
"11","11",2202060,193470,0.0878586414539113,143072,0.0649718899575852,50330,0.0228558713204908,59439,0.0269924525217297,22949,0.0104216052241992
"12","12",1299721,119627,0.092040522542915,90828,0.0698826902081293,37387,0.0287654042675313,30379,0.0233734778463993,15356,0.0118148433394552
"13","13",1117928,120776,0.108035580108916,91251,0.0816251136030227,34508,0.030867819752256,37803,0.0338152367594335,14742,0.0131868957571507
"14","14",3026181,387769,0.128138072375711,312162,0.103153776988224,104533,0.0345428776401676,96472,0.0318791242162977,38143,0.0126043352991774
"15","15",6685455,824995,0.123401473796473,666766,0.0997338251472787,258695,0.0386951972603211,189558,0.0283537919259048,86278,0.0129053295549817
"16","16",1720939,211394,0.122836428252251,166771,0.0969069792712002,61469,0.0357182910027607,64446,0.0374481605681549,13647,0.00792997311351535
"17","17",772664,76379,0.0988515059586055,58894,0.0762220059430749,22033,0.0285156290444488,25587,0.0331152997939596,10109,0.0130833065860452
"18","18",467777,44209,0.0945087082092536,33615,0.071861164614763,12216,0.0261150077921745,14399,0.0307817613948527,7267,0.0155351802247652
"19","19",1947224,133955,0.0687928045258275,102603,0.0526919347748384,42538,0.0218454579442324,40544,0.020821436054609,16126,0.00828153309531929
"20","20",1513716,171047,0.112998078899873,131406,0.0868102074629587,62193,0.0410863068105246,43558,0.0287755431005552,12065,0.00797045152459246
"21","21",2357444,261177,0.110788209603282,212488,0.0901349088249816,95596,0.0405506981289906,64124,0.0272006461235134,22964,0.00974105853627912
"22","22",770224,88764,0.115244396435323,71816,0.0932404079852095,23696,0.0307650761336962,24849,0.0322620432497559,10301,0.013374031450591
"23","23",582792,58559,0.100480102678142,45456,0.0779969526005848,23516,0.0403505882029952,17293,0.0296726791033508,8985,0.0154171642713009
"24","24",1034179,93275,0.0901923168039575,76289,0.0737676939872111,23674,0.0228915884000739,26368,0.025496553304602,9026,0.0087276960758244
"25","25",1143059,111489,0.0975356477662133,88493,0.0774177010985435,34089,0.0298226075819358,38575,0.0337471644070866,14866,0.0130054529118794
"26","26",1102006,96262,0.0873516115157268,74293,0.0674161483694281,26844,0.0243592140151687,31041,0.0281677232247374,16501,0.0149736026845589
"27","27",894754,72195,0.0806869821202252,54783,0.0612268847079756,20353,0.0227470343803995,17921,0.0200289688562443,8860,0.00990216305263793
"28","28",1354560,110065,0.0812551677297425,85862,0.0633873730214978,29288,0.0216217812426175,30489,0.0225084160170092,18021,0.0133039510985117
"29","29",493657,49482,0.100235588677969,38662,0.0783175362650585,16284,0.0329864663116293,11389,0.0230706745776926,5155,0.0104424732152081
"30","30",3159658,350938,0.111068349802415,273984,0.0867131822494713,122386,0.0387339389263015,79246,0.0250805625165762,28536,0.00903135719118968
"31","31",827751,75497,0.0912073799971247,59525,0.0719117222449746,22415,0.027079399481245,18825,0.0227423464302671,6247,0.00754695554581027
"32","32",589858,55930,0.0948194311173198,45263,0.0767354176767968,16684,0.0282847736234823,14748,0.0250026277510859,5661,0.00959722509485334
